# GW150914 time-1126259462.44 (s),H1_data_whitened,L1_data_whitened,H1_template_whitened,L1_template_whitened
 -0.199766, -1.547376,  0.100679, -0.015201,  0.017109
 -0.199522, -2.008278,  0.061772, -0.005847,  0.011693
 -0.199277, -2.267250, -0.031782,  0.006928,  0.007034
 -0.199033, -2.274678, -0.165717,  0.021882,  0.003564
 -0.198789, -2.019154, -0.316448,  0.037620,  0.001517
 -0.198545, -1.532855, -0.454086,  0.052727,  0.000914
 -0.198301, -0.887328, -0.546750,  0.065908,  0.001571
 -0.198057, -0.179593, -0.566164,  0.076094,  0.003138
 -0.197813,  0.488329, -0.493801,  0.082521,  0.005153
 -0.197568,  1.030935, -0.326128,  0.084775,  0.007116
 -0.197324,  1.395754, -0.077296,  0.082788,  0.008557
 -0.197080,  1.570517,  0.221914,  0.076805,  0.009097
 -0.196836,  1.579728,  0.529190,  0.067322,  0.008506
 -0.196592,  1.472610,  0.799086,  0.054997,  0.006721
 -0.196348,  1.306611,  0.992882,  0.040575,  0.003856
 -0.196104,  1.131295,  1.087203,  0.024803,  0.000179
 -0.195859,  0.976752,  1.078554,  0.008376, -0.003931
 -0.195615,  0.849016,  0.982044, -0.008102, -0.008035
 -0.195371,  0.733028,  0.824605, -0.024127, -0.011697
 -0.195127,  0.601686,  0.635146, -0.039288, -0.014545
 -0.194883,  0.428026,  0.435378, -0.053240, -0.016317
 -0.194639,  0.196942,  0.234859, -0.065679, -0.016893
 -0.194395, -0.086969,  0.031935, -0.076317, -0.016310
 -0.194150, -0.397874, -0.180421, -0.084876, -0.014748
 -0.193906, -0.694142, -0.406918, -0.091086, -0.012499
 -0.193662, -0.929047, -0.643830, -0.094719, -0.009930
 -0.193418, -1.063040, -0.876685, -0.095613, -0.007419
 -0.193174, -1.073399, -1.082338, -0.093722, -0.005312
 -0.192930, -0.958432, -1.234468, -0.089148, -0.003870
 -0.192686, -0.735879, -1.310648, -0.082166, -0.003240
 -0.192441, -0.437245, -1.298603, -0.073232, -0.003435
 -0.192197, -0.100668, -1.199518, -0.062956, -0.004346
 -0.191953,  0.235480, -1.027242, -0.052056, -0.005755
 -0.191709,  0.537164, -0.803908, -0.041297, -0.007377
 -0.191465,  0.777305, -0.553919, -0.031402, -0.008901
 -0.191221,  0.936923, -0.298649, -0.022973, -0.010040
 -0.190977,  1.005398, -0.053390, -0.016416, -0.010567
 -0.190732,  0.980382,  0.173186, -0.011884, -0.010347
 -0.190488,  0.867721,  0.377672, -0.009252, -0.009353
 -0.190244,  0.681436,  0.559525, -0.008121, -0.007661
 -0.190000,  0.443361,  0.718362, -0.007855, -0.005433
 -0.189756,  0.181704,  0.851551, -0.007655, -0.002890
 -0.189512, -0.072141,  0.952557, -0.006646, -0.000273
 -0.189268, -0.288469,  1.010486, -0.003984,  0.002192
 -0.189023, -0.444707,  1.011226,  0.001043,  0.004326
 -0.188779, -0.529692,  0.940595,  0.008917,  0.006022
 -0.188535, -0.545186,  0.789386,  0.019817,  0.007252
 -0.188291, -0.504014,  0.559238,  0.033578,  0.008064
 -0.188047, -0.425581,  0.267337,  0.049674,  0.008565
 -0.187803, -0.330427, -0.052343,  0.067248,  0.008896
 -0.187559, -0.235589, -0.352648,  0.085169,  0.009202
 -0.187315, -0.151946, -0.581473,  0.102124,  0.009601
 -0.187070, -0.083979, -0.692730,  0.116727,  0.010161
